Time, a, b, c, d, e, f
2025-04-19 17:05:12.660568,21.687,20.625,20.312,19.937,20.312,18.875,
2025-04-19 17:06:17.716531,21.687,20.687, 20.25,19.937,20.312,18.875,
2025-04-19 17:07:22.708521,21.687,20.687,20.312,19.937,20.312,18.875,
2025-04-19 17:08:27.764497,21.625,20.687, 20.25,19.937, 20.25,18.812,
2025-04-19 17:09:32.756547,21.562,20.562, 20.25,19.937, 20.25,18.812,
2025-04-19 17:10:37.748514,21.562,20.562, 20.25,19.937, 20.25,18.812,
2025-04-19 17:11:42.804518,21.562,20.562,20.187,19.875,20.125, 18.75,
2025-04-19 17:12:47.796535,21.562,20.437,20.187,19.812,20.125, 18.75,
2025-04-19 17:13:52.852563,21.437,20.375,20.125,19.812,20.062,18.625,
2025-04-19 17:14:57.844803,21.437,20.437,20.125,19.812,20.125,18.687,
2025-04-19 17:16:02.900498,21.437,20.437,20.125,19.812,20.062,18.625,
2025-04-19 17:17:07.892501,21.437,20.375,20.125,19.812,20.062,18.625,
2025-04-19 17:18:12.948500,21.375,20.375,20.125,19.812,20.062,18.625,
2025-04-19 17:19:17.940523,21.437,20.437,20.125,19.812,20.062,18.687,
2025-04-19 17:20:22.996524,21.437,20.437,20.125,19.812,20.125,18.687,
2025-04-19 17:21:28.052502,21.437,20.437,20.125,19.812,20.125, 18.75,
2025-04-19 17:22:33.044572,21.437,  20.5,20.125,19.812,20.187, 18.75,
2025-04-19 17:23:38.132486,  21.5,  20.5,20.125,19.875,20.187,18.687,
2025-04-19 17:24:43.124500,  21.5,  20.5,20.187,19.812,20.187, 18.75,
2025-04-19 17:25:48.116541,  21.5,  20.5,20.125,19.875,20.187, 18.75,
2025-04-19 17:26:53.172517,  21.5,  20.5,20.187,19.812,20.187, 18.75,
2025-04-19 17:27:58.164541,  21.5,  20.5,20.187,19.875,20.187, 18.75,
2025-04-19 17:29:03.220522,  21.5,20.562,20.187,19.875, 20.25,18.812,
2025-04-19 17:30:08.212510,  21.5,20.562,20.187,19.875, 20.25,18.812,
2025-04-19 17:31:13.268500,21.562,20.562,20.187,19.875,20.187, 18.75,
2025-04-19 17:32:18.260539,  21.5,20.562,20.187,19.875,20.187, 18.75,
2025-04-19 17:33:23.316476,  21.5,20.562,20.187,19.875,20.187, 18.75,
2025-04-19 17:34:28.308544,  21.5,20.562,20.187,19.875, 20.25, 18.75,
2025-04-19 17:35:33.300537,  21.5,  20.5,20.187,19.875,20.187, 18.75,
2025-04-19 17:36:38.356528,  21.5,  20.5,20.187,19.875,20.187, 18.75,
2025-04-19 17:37:43.348521,  21.5,  20.5,20.125,19.875,20.187, 18.75,
2025-04-19 17:38:48.404558,  21.5,  20.5,20.187,19.875,20.187, 18.75,
2025-04-19 17:39:53.460526,  21.5,  20.5,20.187,19.875,20.187, 18.75,
2025-04-19 17:40:58.452528,  21.5,  20.5,20.125,19.812,20.125,18.687,
